,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Stadium,City,Latitude,Longitude,Place,Country,Team_unicode,Unnamed: 0,max_temp,min_temp,apparent_temperature_max,apparent_temperature_min,wind_speed,weather_code,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_probability_mean
0,2014,23/08/2014,Almeria,Espanol,1,1,D,0,0,D,,19,12,6,2,8,9,11,7,3,2,0,1,Juegos Mediterráneos,Almería,36.94454,-2.462095,Rioja,Spain,Almeria,0,28.4,21.5,31.7,23.0,13.8,53,0.6,0.6,0.0,0.0,
1,2014,23/08/2014,Granada,La Coruna,2,1,H,0,1,A,,10,7,3,1,13,26,5,3,1,2,0,0,Nuevo Los Cármenes,Granada,37.201644,-3.565655,18182,Spain,Granada,1,29.7,15.8,29.4,14.6,12.7,0,0.0,0.0,0.0,0.0,
2,2014,23/08/2014,Malaga,Ath Bilbao,1,0,H,1,0,H,,12,12,3,5,13,9,5,4,3,3,2,0,La Rosaleda,Málaga,36.737595,-4.426764,Palma-palmilla,Spain,Malaga,2,30.4,22.6,32.7,22.4,16.8,1,0.0,0.0,0.0,0.0,
3,2014,23/08/2014,Sevilla,Valencia,1,1,D,1,0,H,,10,11,3,1,23,8,3,3,4,2,0,1,Ramón Sánchez Pizjuán,Seville,37.410508,-5.986583,41009,Spain,Sevilla,3,34.1,20.9,34.4,20.0,13.5,3,0.0,0.0,0.0,0.0,
4,2014,24/08/2014,Barcelona,Elche,3,0,H,1,0,H,,12,3,6,0,11,13,3,1,0,1,1,0,Camp Nou,Barcelona,41.573025,2.52583,Caldes d'Estrac,Spain,Barcelona,4,23.7,18.9,25.3,20.3,16.5,51,1.5,1.5,0.0,0.0,
5,2014,24/08/2014,Celta,Getafe,3,1,H,1,0,H,,20,12,8,3,19,15,4,4,4,1,0,0,Balaídos,Vigo,42.212847,-8.736072,Vigo,Spain,Celta,5,21.1,14.3,22.4,14.5,14.5,3,0.0,0.0,0.0,0.0,
6,2014,24/08/2014,Eibar,Sociedad,1,0,H,1,0,H,,12,19,5,4,13,14,5,6,4,1,0,0,Ipurua,Eibar,43.183937,-2.473472,Eibar,Spain,Eibar,6,22.5,13.3,23.8,12.9,15.1,3,0.0,0.0,0.0,0.0,
7,2014,24/08/2014,Levante,Villarreal,0,2,A,0,0,D,,9,12,2,6,11,14,3,4,1,3,0,0,Ciutat de València,Valencia,39.277452,-0.279226,el Perelló,Spain,Levante,7,29.8,22.0,31.8,24.7,22.9,51,0.2,0.2,0.0,0.0,
8,2014,25/08/2014,Real Madrid,Cordoba,2,0,H,1,0,H,,14,8,8,2,9,13,8,5,1,2,0,0,Santiago Bernabéu,Madrid,40.450264,-3.688988,28036,Spain,Real Madrid,8,32.7,16.2,30.0,14.9,15.5,0,0.0,0.0,0.0,0.0,
9,2014,25/08/2014,Vallecano,Ath Madrid,0,0,D,0,0,D,,8,9,2,2,13,17,2,4,2,2,0,0,Vallecas,Madrid,41.369913,1.39185,Mas d'en Parès,Spain,Vallecano,9,27.0,19.4,29.5,22.3,15.0,51,0.1,0.1,0.0,0.0,
10,2014,29/08/2014,Getafe,Almeria,1,0,H,1,0,H,,12,11,3,4,17,11,2,3,3,2,0,0,Coliseum Alfonso Pérez,Getafe,43.449879,-3.825267,Santander,Spain,Getafe,10,22.0,17.3,22.4,18.0,12.8,3,0.0,0.0,0.0,0.0,
11,2014,29/08/2014,Valencia,Malaga,3,0,H,2,0,H,,14,17,4,4,18,11,4,6,1,2,0,1,Mestalla,Valencia,39.469913,-0.358497,El Pla Del Real,Spain,Valencia,11,30.4,22.7,33.1,27.1,18.2,51,0.3,0.3,0.0,0.0,
12,2014,30/08/2014,Ath Bilbao,Levante,3,0,H,1,0,H,,10,10,5,2,13,17,2,11,1,4,0,0,San Mamés,Bilbao,43.350125,-3.095807,Biscay,Spain,Ath Bilbao,12,20.3,16.5,19.9,16.9,14.7,51,0.1,0.1,0.0,0.0,
13,2014,30/08/2014,Ath Madrid,Eibar,2,1,H,2,1,H,,15,8,6,2,12,18,5,5,3,0,0,0,Vicente Calderón,Madrid,40.470784,-3.583985,28042,Spain,Ath Madrid,13,30.8,20.0,31.1,20.2,12.0,3,0.0,0.0,0.0,0.0,
