,max_temp,min_temp,apparent_temperature_max,apparent_temperature_min,wind_speed,weather_code,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_probability_mean,Date,Stadium
0,22.3,10.0,23.2,8.8,15.8,1,0.0,0.0,0.0,0.0,,06/05/2022,Ciutat de València
1,23.5,14.6,21.1,13.9,18.6,51,0.1,0.1,0.0,0.0,,07/05/2022,Visit Mallorca Estadi
2,17.4,9.4,19.2,8.6,10.4,3,0.0,0.0,0.0,0.0,,07/05/2022,San Mamés
3,26.1,13.5,28.5,12.7,12.4,3,0.0,0.0,0.0,0.0,,07/05/2022,Nuevo Mirandilla
4,25.4,12.4,27.9,11.6,14.1,3,0.0,0.0,0.0,0.0,,07/05/2022,Abanca-Balaídos
5,30.7,13.2,30.8,12.9,20.4,3,0.0,0.0,0.0,0.0,,07/05/2022,Benito Villamarín
6,18.3,11.8,18.7,11.2,17.1,3,0.0,0.0,0.0,0.0,,08/05/2022,Coliseum Alfonso Pérez
7,21.9,10.4,22.3,8.7,14.5,3,0.0,0.0,0.0,0.0,,08/05/2022,Estadio de la Cerámica
8,22.7,12.0,22.7,10.7,13.3,1,0.0,0.0,0.0,0.0,,08/05/2022,RCDE Stadium
9,25.7,9.7,25.5,7.4,14.8,2,0.0,0.0,0.0,0.0,,08/05/2022,Wanda Metropolitano
10,23.4,11.4,24.2,9.7,16.8,2,0.0,0.0,0.0,0.0,,10/05/2022,Mestalla
11,24.3,10.4,24.9,8.3,16.2,2,0.0,0.0,0.0,0.0,,10/05/2022,Nuevo Los Cármenes
12,22.3,12.6,22.5,12.5,17.9,3,0.0,0.0,0.0,0.0,,10/05/2022,Camp Nou
13,27.6,11.4,27.8,9.2,21.7,3,0.0,0.0,0.0,0.0,,11/05/2022,Mendizorroza
14,28.3,12.6,29.0,10.7,23.4,3,0.0,0.0,0.0,0.0,,11/05/2022,El Sadar
15,32.8,17.4,30.6,15.0,16.2,3,0.0,0.0,0.0,0.0,,11/05/2022,Ramón Sánchez Pizjuán
16,30.1,12.3,29.4,10.4,23.4,3,0.0,0.0,0.0,0.0,,11/05/2022,Martínez Valero
17,33.0,17.1,33.1,14.6,17.8,3,0.0,0.0,0.0,0.0,,12/05/2022,Anoeta
18,22.6,11.6,21.4,10.2,14.7,3,0.0,0.0,0.0,0.0,,12/05/2022,Vallecas
19,26.5,14.0,26.5,12.0,12.8,3,0.0,0.0,0.0,0.0,,12/05/2022,Santiago Bernabéu
20,25.5,13.9,25.9,13.1,13.0,3,0.0,0.0,0.0,0.0,,14/05/2022,RCDE Stadium
21,26.4,16.1,27.4,17.3,21.7,51,0.2,0.2,0.0,0.0,,15/05/2022,San Mamés
22,24.0,15.1,23.5,13.0,20.3,51,0.1,0.1,0.0,0.0,,15/05/2022,Wanda Metropolitano
23,27.0,15.8,26.1,16.5,18.5,3,0.0,0.0,0.0,0.0,,15/05/2022,Benito Villamarín
24,22.2,15.9,23.8,17.1,15.6,51,0.4,0.4,0.0,0.0,,15/05/2022,Nuevo Mirandilla
25,20.1,16.4,18.1,15.0,27.1,61,9.1,9.1,0.0,0.0,,15/05/2022,Abanca-Balaídos
26,27.1,15.1,26.4,15.8,20.9,3,0.0,0.0,0.0,0.0,,15/05/2022,Coliseum Alfonso Pérez
27,25.0,14.1,27.1,13.2,15.8,3,0.0,0.0,0.0,0.0,,15/05/2022,Ciutat de València
28,28.0,16.3,27.3,16.1,17.4,3,0.0,0.0,0.0,0.0,,15/05/2022,Visit Mallorca Estadi
29,25.9,12.0,25.9,11.3,12.6,3,0.0,0.0,0.0,0.0,,15/05/2022,Estadio de la Cerámica
30,32.1,16.9,30.4,14.7,16.7,3,0.0,0.0,0.0,0.0,,20/05/2022,Santiago Bernabéu
31,28.7,16.5,27.1,15.9,17.8,3,0.0,0.0,0.0,0.0,,20/05/2022,Vallecas
32,26.4,15.6,29.6,16.2,13.7,3,0.0,0.0,0.0,0.0,,21/05/2022,Mestalla
33,30.8,19.8,28.0,17.2,24.9,3,0.0,0.0,0.0,0.0,,22/05/2022,Martínez Valero
34,29.1,16.3,28.6,16.1,18.7,51,0.8,0.8,0.0,0.0,,22/05/2022,Mendizorroza
35,31.7,16.1,29.8,14.9,17.7,3,0.0,0.0,0.0,0.0,,22/05/2022,Nuevo Los Cármenes
36,31.4,16.1,29.4,16.7,26.8,51,0.1,0.1,0.0,0.0,,22/05/2022,El Sadar
37,30.3,19.7,30.8,17.3,22.1,3,0.0,0.0,0.0,0.0,,22/05/2022,Camp Nou
38,29.7,18.0,30.0,19.1,19.7,3,0.0,0.0,0.0,0.0,,22/05/2022,Ramón Sánchez Pizjuán
39,29.4,18.0,29.7,19.1,17.6,3,0.0,0.0,0.0,0.0,,22/05/2022,Anoeta
40,37.4,21.2,38.2,22.0,20.3,3,0.0,0.0,0.0,0.0,,12/08/2022,El Sadar
